meta_bat_volt_max,meta_bat_volt_mean,meta_bat_volt_min,meta_needs_review,meta_station_id,meta_station_name,meta_version,chill_hours_0C,chill_hours_20C,chill_hours_32F,chill_hours_45F,chill_hours_68F,chill_hours_7C,date_doy,date_year,datetime,dwpt_mean,dwpt_meanF,eto_azmet,eto_azmet_in,eto_pen_mon,eto_pen_mon_in,heat_units_10C,heat_units_13C,heat_units_3413C,heat_units_45F,heat_units_50F,heat_units_55F,heat_units_7C,heat_units_9455F,heatstress_cotton_meanC,heatstress_cotton_meanF,precip_total_in,precip_total_mm,relative_humidity_max,relative_humidity_mean,relative_humidity_min,sol_rad_total,sol_rad_total_ly,temp_air_maxC,temp_air_maxF,temp_air_meanC,temp_air_meanF,temp_air_minC,temp_air_minF,temp_soil_10cm_maxC,temp_soil_10cm_maxF,temp_soil_10cm_meanC,temp_soil_10cm_meanF,temp_soil_10cm_minC,temp_soil_10cm_minF,temp_soil_50cm_maxC,temp_soil_50cm_maxF,temp_soil_50cm_meanC,temp_soil_50cm_meanF,temp_soil_50cm_minC,temp_soil_50cm_minF,vp_actual_max,vp_actual_mean,vp_actual_min,vp_deficit_mean,wind_2min_spd_max_mph,wind_2min_spd_max_mps,wind_2min_spd_mean_mph,wind_2min_spd_mean_mps,wind_2min_timestamp,wind_2min_vector_dir,wind_spd_max_mph,wind_spd_max_mps,wind_spd_mean_mph,wind_spd_mean_mps,wind_vector_dir,wind_vector_dir_stand_dev,wind_vector_magnitude,wind_vector_magnitude_mph
14,13.07,12.54,0,az01,Tucson,1,0,16,0,0,16,0,152,2023,2023-06-01,-0.2,31.6,7.3,0.29,6.1,0.24,12.2,9.4,9.7,27,22,17,15,17.5,20,67.9,0,0,47,23,9,29.05,694.31,32.1,89.8,23.9,75,12.9,55.2,36.2,97.2,31,87.8,25.8,78.4,28,82.4,27.6,81.7,27.3,81.1,0.78,0.6,0.39,2.52,10.7,4.8,2.9,1.3,2023-06-01T16:13:30-07:00,253,15,6.7,2.9,1.3,205,67,0.2,0.4
13.93,13.06,12.56,0,az01,Tucson,1,0,18,0,0,18,0,153,2023,2023-06-02,2.1,35.7,8,0.31,6.5,0.26,13.5,10.7,11.2,29.3,24.3,19.3,16.3,20.2,21.5,70.8,0,0,49,24,9,30.95,739.72,32.9,91.2,25.6,78.1,15.1,59.2,37.4,99.3,31.9,89.4,26.7,80.1,27.9,82.2,27.6,81.7,27.3,81.1,1.12,0.71,0.44,2.71,9.8,4.4,2.9,1.3,2023-06-02T18:51:20-07:00,297,11.6,5.2,2.9,1.3,291,59,0.5,1.1
13.87,13.03,12.56,0,az01,Tucson,1,0,18,0,0,18,0,154,2023,2023-06-03,-0,32,8.5,0.33,6.7,0.27,13.8,11,12.1,29.8,24.8,19.8,16.6,21.8,22.4,72.3,0,0,44,19,8,31.3,748.09,35.4,95.7,27,80.6,14.6,58.3,37.9,100.2,32.3,90.1,26.8,80.2,28,82.4,27.8,82,27.5,81.5,0.79,0.61,0.46,3.17,9.8,4.4,2.9,1.3,2023-06-03T15:24:20-07:00,298,13.9,6.2,2.9,1.3,314,60,0.4,0.9
13.83,13,12.55,0,az01,Tucson,1,0,18,0,0,18,0,155,2023,2023-06-04,0.2,32.4,8,0.31,6.8,0.27,14.8,12,13.6,31.7,26.7,21.7,17.6,24.4,23.5,74.3,0,0,43,18,7,29.87,713.91,37.8,100,28.7,83.7,16,60.8,38.3,100.9,32.7,90.9,27.4,81.3,28.3,82.9,28,82.4,27.7,81.9,0.84,0.62,0.4,3.58,13,5.8,2.9,1.3,2023-06-04T20:58:30-07:00,280,15.7,7,2.9,1.3,286,60,0.3,0.7
13.8,12.99,12.54,0,az01,Tucson,1,0,19,0,0,19,0,156,2023,2023-06-05,-2.5,27.6,8.6,0.34,7.4,0.29,15.3,12.5,14.1,32.6,27.6,22.6,18.1,25.4,23.6,74.5,0,0,40,15,5,29.71,710.09,39.1,102.4,29.1,84.4,16.6,61.9,38.4,101.1,33.1,91.6,27.9,82.2,28.5,83.3,28.2,82.8,28,82.4,0.84,0.51,0.29,3.81,11.4,5.1,3.6,1.6,2023-06-05T18:59:30-07:00,245,16.1,7.2,3.6,1.6,201,61,0.5,1.1
13.83,13.02,12.55,0,az01,Tucson,1,0,20,0,0,20,0,157,2023,2023-06-06,-3,26.6,9.1,0.36,8.1,0.32,15.6,12.8,14.3,33,28,23,18.3,25.7,23.2,73.7,0,0,28,14,5,30.6,731.36,36.9,98.4,28.3,82.9,18,64.4,38.5,101.3,33.2,91.8,28.4,83.1,28.7,83.7,28.5,83.3,28.2,82.8,0.73,0.49,0.28,3.57,13.9,6.2,4.7,2.1,2023-06-06T14:44:20-07:00,122,18.3,8.2,4.7,2.1,209,57,0.8,1.8
13.9,13.03,12.54,0,az01,Tucson,1,0,17,0,0,17,0,158,2023,2023-06-07,-0.5,31.1,8.6,0.34,7.4,0.29,13.8,11,12,29.9,24.9,19.9,16.6,21.5,21.9,71.5,0,0,43,20,6,31.45,751.67,34.4,93.9,26.5,79.7,15.1,59.2,38.2,100.8,32.9,91.2,27.7,81.9,28.9,84,28.6,83.5,28.2,82.8,0.91,0.59,0.33,3.04,13.2,5.9,4,1.8,2023-06-07T15:55:20-07:00,240,18.8,8.4,4,1.8,254,61,0.6,1.3
13.87,13.03,12.56,0,az01,Tucson,1,0,18,0,0,18,0,159,2023,2023-06-08,0.9,33.5,8.4,0.33,7.2,0.28,14,11.3,12.3,30.3,25.3,20.3,16.8,22.1,22.3,72.2,0,0,45,20,8,30.46,728.01,34.9,94.8,26.8,80.2,15.3,59.5,38.5,101.3,33,91.4,27.8,82,28.9,84,28.6,83.5,28.3,82.9,0.93,0.65,0.35,3.05,12.5,5.6,3.8,1.7,2023-06-08T16:04:30-07:00,247,18.6,8.3,3.8,1.7,276,57,0.7,1.6
13.92,13.04,12.54,0,az01,Tucson,1,0,16,0,0,16,0,160,2023,2023-06-09,-4.1,24.6,6.1,0.24,5.5,0.22,13.7,10.9,11.6,29.6,24.6,19.6,16.5,20.8,20.6,69,0,0,42,17,4,24.91,595.36,33.6,92.5,24.9,76.8,15.1,59.2,35.8,96.4,31.5,88.7,27.5,81.5,29,84.2,28.6,83.5,28.3,82.9,0.78,0.45,0.23,2.89,8.5,3.8,2.2,1,2023-06-09T15:03:00-07:00,122,11.6,5.2,2.2,1,83,59,0.2,0.4
13.89,13.01,12.52,0,az01,Tucson,1,0,16,0,0,16,0,161,2023,2023-06-10,-5,22.9,8.7,0.34,7.3,0.29,13.1,10.4,11.6,28.6,23.6,18.6,15.9,20.9,21.5,70.7,0,0,36,14,5,31.58,754.78,37.4,99.3,26.7,80.1,12.3,54.1,37.6,99.7,31.6,88.9,25.7,78.3,28.6,83.5,28.2,82.8,27.8,82,0.65,0.42,0.27,3.41,14.8,6.6,3.4,1.5,2023-06-10T14:53:10-07:00,151,20.1,9,3.4,1.5,175,52,0.7,1.6
