meta_bat_volt,meta_needs_review,meta_station_id,meta_station_name,meta_version,date_datetime,date_doy,date_hour,date_year,dwpt,dwptF,eto_azmet,eto_azmet_in,heatstress_cottonC,heatstress_cottonF,precip_total,precip_total_in,relative_humidity,sol_rad_total,sol_rad_total_ly,temp_airC,temp_airF,temp_soil_10cmC,temp_soil_10cmF,temp_soil_50cmC,temp_soil_50cmF,vp_actual,vp_deficit,wind_2min_spd_max_mph,wind_2min_spd_max_mps,wind_2min_spd_mean_mph,wind_2min_spd_mean_mps,wind_2min_timestamp,wind_2min_vector_dir,wind_spd_max_mph,wind_spd_max_mps,wind_spd_mph,wind_spd_mps,wind_vector_dir,wind_vector_dir_stand_dev,wind_vector_magnitude,wind_vector_magnitude_mph
12.87,0,az01,Tucson,1,2023-07-01T19:00:00Z,182,1900,2023,50,27.6,0.2,0.01,30.5,86.8,0,0,7,0.54,12.91,39.4,102.9,40.9,105.6,30.9,87.6,0.51,6.62,6.7,3,4.5,2,2023-07-01T18:44:40-07:00,282,8.7,3.9,4.5,2,292,26,1.8,4
12.82,0,az01,Tucson,1,2023-07-01T20:00:00Z,182,2000,2023,-2.5,27.6,0.2,0.01,29.4,85,0,0,8,0.07,1.67,37.3,99.1,40,104,30.9,87.6,0.51,5.87,7.2,3.2,4.7,2.1,2023-07-01T19:06:10-07:00,283,9.8,4.4,4.7,2.1,295,14,2,4.5
12.79,0,az01,Tucson,1,2023-07-01T21:00:00Z,182,2100,2023,-1.2,29.9,0.1,0,28.8,83.8,0,0,11,0,0,33.6,92.5,39,102.2,31,87.8,0.56,4.65,2.7,1.2,0.7,0.3,2023-07-01T20:03:50-07:00,280,3.6,1.6,0.7,0.3,289,7,0.2,0.4
12.76,0,az01,Tucson,1,2023-07-01T22:00:00Z,182,2200,2023,-1.2,29.9,0.1,0,27.2,80.9,0,0,12,0,0,32,89.6,37.8,100,31.1,88,0.56,4.2,2.7,1.2,1.1,0.5,2023-07-01T21:13:30-07:00,250,5.4,2.4,1.1,0.5,282,29,0.4,0.9
12.74,0,az01,Tucson,1,2023-07-01T23:00:00Z,182,2300,2023,0.2,32.4,0.1,0,24.5,76,0,0,15,0,0,29.2,84.6,36.8,98.2,31.2,88.2,0.62,3.46,2.2,1,0.4,0.2,2023-07-01T22:09:00-07:00,246,2.9,1.3,0.4,0.2,251,15,0.1,0.2
12.72,0,az01,Tucson,1,2023-07-01T23:59:59Z,182,2400,2023,-0.5,31.1,0.1,0,24.6,76.3,0,0,14,0,0,29.4,84.9,35.8,96.4,31.3,88.3,0.59,3.53,5.1,2.3,2.5,1.1,2023-07-01T23:47:00-07:00,298,7.2,3.2,2.5,1.1,280,32,0.9,2
12.71,0,az01,Tucson,1,2023-07-02T01:00:00Z,183,0100,2023,0.2,32.4,0.1,0,22.8,73,0,0,17,0,0,27.5,81.5,35,95,31.3,88.3,0.62,3.07,3.8,1.7,1.1,0.5,2023-07-02T00:17:30-07:00,63,4.3,1.9,1.1,0.5,98,40,0.3,0.7
12.69,0,az01,Tucson,1,2023-07-02T02:00:00Z,183,0200,2023,0.9,33.5,0.1,0,20.7,69.3,0,0,20,0,0,25.4,77.7,34.1,93.4,31.4,88.5,0.65,2.59,3.4,1.5,2,0.9,2023-07-02T01:15:20-07:00,114,5.4,2.4,2,0.9,107,27,0.8,1.8
12.66,0,az01,Tucson,1,2023-07-02T03:00:00Z,183,0300,2023,0.9,33.5,0,0,19.2,66.6,0,0,22,0,0,23.9,75,33.4,92.1,31.4,88.5,0.65,2.33,2.9,1.3,1.3,0.6,2023-07-02T02:05:20-07:00,109,3.1,1.4,1.3,0.6,107,31,0.5,1.1
12.64,0,az01,Tucson,1,2023-07-02T04:00:00Z,183,0400,2023,1.3,34.3,0,0,17,62.6,0,0,26,0,0,21.6,70.9,32.7,90.9,31.5,88.7,0.67,1.91,2.9,1.3,0.7,0.3,2023-07-02T03:04:20-07:00,60,3.1,1.4,0.7,0.3,64,9,0.3,0.7
